"date","time","size","r_version","r_arch","r_os","package","version","country","ip_id"
"2015-01-01","03:50:44",3222272,"3.1.1","x86_64","linux-gnu","FactoMineR","1.28","US",632
"2015-01-01","03:51:14",121928,"3.1.2","x86_64","linux-gnu","swirl","2.2.16","US",634
"2015-01-01","03:51:21",1378629,"3.1.2","i386","mingw32","tikzDevice","0.7.0","JP",591
"2015-01-01","03:50:43",829021,"3.1.2","i386","mingw32","RODBC","1.3-10","IN",635
"2015-01-01","03:51:02",269724,NA,NA,NA,"leaps","2.9","IN",503
"2015-01-01","03:48:05",477872,"3.1.2","x86_64","linux-gnu","RPostgreSQL","0.4","US",79
"2015-01-01","03:51:07",6922,"2.14.0","i386","mingw32","base64enc","0.1-2","US",636
"2015-01-01","03:50:48",739541,NA,NA,NA,"timereg","1.8.6","CN",607
"2015-01-01","03:50:49",512,NA,NA,NA,"timesboot","1.0","CN",607
"2015-01-01","03:50:50",19815,NA,NA,NA,"timesboot","1.0","CN",607
"2015-01-01","03:50:50",512,NA,NA,NA,"timeseriesdb","0.1","CN",607
"2015-01-01","03:50:51",33316,NA,NA,NA,"timeseriesdb","0.1","CN",607
"2015-01-01","03:49:50",36164,"2.14.0","i386","mingw32","manipulate","1.0.1","CN",637
"2015-01-01","03:51:31",1587207,NA,NA,NA,"timma","1.0.0","CN",607
"2015-01-01","03:51:33",514,NA,NA,NA,"timsac","1.3.3","CN",607
"2015-01-01","03:51:33",512,NA,NA,NA,"tipom","1.0.2-1","CN",607
"2015-01-01","03:51:33",514,NA,NA,NA,"tis","1.27","CN",607
"2015-01-01","03:51:46",420872,NA,NA,NA,"tis","1.27","CN",607
"2015-01-01","03:51:48",512,NA,NA,NA,"titan","1.0-16","CN",607
"2015-01-01","03:51:49",54307,NA,NA,NA,"titan","1.0-16","CN",607
"2015-01-01","03:51:51",512,NA,NA,NA,"tkrgl","0.7","CN",607
"2015-01-01","03:51:52",20388,NA,NA,NA,"tkrgl","0.7","CN",607
"2015-01-01","03:51:53",512,NA,NA,NA,"tkrplot","0.0-23","CN",607
"2015-01-01","03:51:54",513,NA,NA,NA,"tlemix","0.1.3","CN",607
"2015-01-01","03:51:56",95583,NA,NA,NA,"tlemix","0.1.3","CN",607
"2015-01-01","03:51:58",514,NA,NA,NA,"tlm","0.1.3","CN",607
"2015-01-01","03:51:23",819753,"3.1.2","x86_64","mingw32","zoo","1.7-11","RU",638
"2015-01-01","03:51:36",36535,"3.1.2","x86_64","mingw32","bitops","1.0-6","HK",630
"2015-01-01","03:51:56",29565,NA,NA,NA,"TAHMMAnnot","1.0","FR",39
"2015-01-01","03:52:10",14621,NA,NA,NA,"ccgarch","0.1.4-1","FR",8
"2015-01-01","03:50:17",879106,"3.1.2","x86_64","mingw32","zoo","1.7-11","HK",630
"2015-01-01","03:50:30",96233,"3.1.2","x86_64","linux-gnu","gridExtra","0.9.1","HK",630
"2015-01-01","03:50:46",1604152,"2.14.0","i386","mingw32","timeSeries","3011.98","HK",630
"2015-01-01","03:50:54",64524,"2.14.0","i386","mingw32","gtable","0.1.2","HK",630
"2015-01-01","03:51:03",282967,"2.14.0","i386","mingw32","TTR","0.22-0","HK",630
"2015-01-01","03:51:13",456487,"2.14.0","i386","mingw32","quantmod","0.4-3","HK",630
"2015-01-01","03:51:37",6924,"2.14.0","i386","mingw32","base64enc","0.1-2","US",639
"2015-01-01","03:51:12",14621,NA,NA,NA,"FinTS","0.3-3","FR",22
"2015-01-01","03:52:25",667479,NA,NA,NA,"tlm","0.1.3","CN",607
"2015-01-01","03:52:30",512,NA,NA,NA,"tlmec","0.0-2","CN",607
"2015-01-01","03:52:30",513,NA,NA,NA,"tlnise","2.0","CN",607
"2015-01-01","03:52:31",70828,NA,NA,NA,"tlnise","2.0","CN",607
"2015-01-01","03:52:37",512,NA,NA,NA,"tm.plugin.alceste","1.1","CN",607
"2015-01-01","03:52:37",512,NA,NA,NA,"tm.plugin.dc","0.2-7","CN",607
"2015-01-01","03:52:38",512,NA,NA,NA,"tm.plugin.europresse","1.1","CN",607
"2015-01-01","03:52:39",512,NA,NA,NA,"tm.plugin.factiva","1.5","CN",607
"2015-01-01","03:52:39",512,NA,NA,NA,"tm.plugin.lexisnexis","1.1","CN",607
"2015-01-01","03:52:39",512,NA,NA,NA,"tm.plugin.mail","0.1","CN",607
"2015-01-01","03:52:40",514,NA,NA,NA,"tm.plugin.webmining","1.2.2","CN",607
"2015-01-01","03:52:48",311418,NA,NA,NA,"tm.plugin.webmining","1.2.2","CN",607
"2015-01-01","03:51:55",506901,"3.1.2","x86_64","linux-gnu","permute","0.8-3","AU",640
"2015-01-01","03:52:02",2838761,"3.1.2","x86_64","linux-gnu","vegan","2.2-0","AU",640
"2015-01-01","03:52:11",2344342,"3.1.2","x86_64","linux-gnu","rgl","0.95.1201","AU",640
"2015-01-01","03:52:13",290254,"3.1.2","x86_64","darwin13.4.0","scatterplot3d","0.3-35","AU",640
"2015-01-01","03:52:14",37870,"3.1.2","x86_64","linux-gnu","vegan3d","0.65-0","AU",640
"2015-01-01","03:52:23",212761,"3.1.2","x86_64","linux-gnu","lars","1.2","CN",419
"2015-01-01","03:51:35",86281,"2.15.3","i386","mingw32","htmltools","0.2.6","HK",630
"2015-01-01","03:52:50",514,NA,NA,NA,"tm","0.6","CN",607
"2015-01-01","03:52:51",516,NA,NA,NA,"tmap","0.6","CN",607
"2015-01-01","03:52:22",369677,"2.15.3","i386","mingw32","preseqR","1.0.1","CN",575
"2015-01-01","03:52:47",14616,NA,NA,NA,"igraph","0.7.1","CN",4
"2015-01-01","03:51:35",230168,"3.1.2","x86_64","linux-gnu","caTools","1.17.1","HK",630
"2015-01-01","03:52:03",86283,"3.1.2","x86_64","darwin13.4.0","htmltools","0.2.6","HK",630
"2015-01-01","03:53:16",3330120,"3.1.2","x86_64","darwin13.4.0","rattle","3.4.1","BH",596
"2015-01-01","03:51:35",180595,"3.1.2","x86_64","darwin13.4.0","yaml","2.1.13","HK",630
"2015-01-01","03:53:31",14621,NA,NA,NA,"AMORE","0.2-13","FR",29
"2015-01-01","03:52:29",14621,NA,NA,NA,"RcmdrPlugin.DoE","0.5-4","FR",3
"2015-01-01","03:53:50",3029833,"3.1.2","i386","mingw32","Rcpp","0.11.3","CN",641
"2015-01-01","03:53:52",870337,"3.1.2","x86_64","linux-gnu","httpuv","1.3.2","CN",641
"2015-01-01","03:53:53",35507,"3.1.2","x86_64","linux-gnu","mime","0.2","CN",641
"2015-01-01","03:53:59",1236588,"3.1.2","x86_64","linux-gnu","RJSONIO","1.3-0","CN",641
"2015-01-01","03:54:01",383004,"3.1.2","x86_64","darwin13.4.0","xtable","1.7-4","CN",641
"2015-01-01","03:54:02",150230,"3.1.1","x86_64","mingw32","digest","0.6.7","CN",641
"2015-01-01","03:53:56",879097,"3.1.2","x86_64","darwin13.4.0","zoo","1.7-11","US",642
"2015-01-01","03:53:07",14621,NA,NA,NA,"spatstat","1.23-4","FR",22
"2015-01-01","03:53:20",14621,NA,NA,NA,"VR","6.2-10","FR",38
"2015-01-01","03:53:48",1435946,NA,NA,NA,"tmap","0.6","CN",607
"2015-01-01","03:53:53",514,NA,NA,NA,"tmle.npvi","0.8.1","CN",607
"2015-01-01","03:54:08",391559,NA,NA,NA,"tmle.npvi","0.8.1","CN",607
"2015-01-01","03:54:03",86286,"3.1.2","x86_64","darwin13.4.0","htmltools","0.2.6","CN",641
"2015-01-01","03:54:03",123775,"2.15.3","i386","mingw32","R6","2.0.1","CN",641
"2015-01-01","03:54:09",1329246,"3.1.2","x86_64","darwin13.4.0","shiny","0.10.2.2","CN",641
"2015-01-01","03:54:31",429403,"3.1.2","x86_64","darwin13.4.0","brnn","0.4","NZ",643
"2015-01-01","03:54:12",513,NA,NA,NA,"tmle","1.2.0-4","CN",607
"2015-01-01","03:54:14",93103,NA,NA,NA,"tmle","1.2.0-4","CN",607
"2015-01-01","03:54:16",514,NA,NA,NA,"tmvtnorm","1.4-9","CN",607
"2015-01-01","03:54:57",792874,NA,NA,NA,"tmvtnorm","1.4-9","CN",607
"2015-01-01","03:55:01",514,NA,NA,NA,"tnet","3.0.11","CN",607
"2015-01-01","03:55:27",36979,"3.1.2","i386","mingw32","evaluate","0.5.5","NZ",644
"2015-01-01","03:54:32",11495,NA,NA,NA,"startupmsg","0.7.2","FR",16
"2015-01-01","03:55:15",7652,"3.1.2","i386","mingw32","doSNOW","1.0.12","US",221
"2015-01-01","03:54:40",14621,NA,NA,NA,"fGarch","290.77","FR",38
"2015-01-01","03:55:24",368295,"3.1.2","i386","mingw32","httr","0.6.0","NZ",644
"2015-01-01","03:55:25",14625,"3.1.1","x86_64","linux-gnu","memoise","0.2.1","NZ",644
"2015-01-01","03:55:27",47659,"3.1.1","x86_64","linux-gnu","whisker","0.3-2","NZ",644
"2015-01-01","03:55:30",272148,"3.0.3","x86_64","mingw32","devtools","1.6.1","NZ",644
"2015-01-01","03:55:10",520570,"3.1.1","x86_64","linux-gnu","rjags","3-14","US",645
"2015-01-01","03:55:13",1450541,"3.1.1","x86_64","linux-gnu","runjags","1.2.1-0","US",645
"2015-01-01","03:53:28",624752,"3.1.1","x86_64","linux-gnu","glmnet","1.9-8","US",130
"2015-01-01","03:55:21",525436,"3.1.1","x86_64","linux-gnu","ggthemes","2.1.0","CA",646
"2015-01-01","03:55:33",710828,NA,NA,NA,"tnet","3.0.11","CN",607
"2015-01-01","03:55:37",514,NA,NA,NA,"toaster","0.2.5","CN",607
"2015-01-01","03:55:44",185609,NA,NA,NA,"toaster","0.2.5","CN",607
"2015-01-01","03:55:47",514,NA,NA,NA,"tolerance","1.0.0","CN",607
"2015-01-01","03:55:58",248170,NA,NA,NA,"tolerance","1.0.0","CN",607
"2015-01-01","03:56:00",516,NA,NA,NA,"topicmodels","0.2-1","CN",607
"2015-01-01","03:55:56",14621,NA,NA,NA,"clim.pact","2.2-14","FR",42
"2015-01-01","03:55:28",22468,"3.1.1","x86_64","linux-gnu","rstudioapi","0.2","NZ",644
"2015-01-01","03:55:14",23256,"3.1.1","x86_64","linux-gnu","snow","0.3-13","US",221
"2015-01-01","03:56:15",1450541,NA,NA,NA,"runjags","1.2.1-0","JP",647
"2015-01-01","03:56:07",53717,NA,NA,NA,"vcd","1.0-9","FR",32
"2015-01-01","03:56:10",14621,NA,NA,NA,"NCmisc","1.1.3","FR",17
"2015-01-01","03:56:11",520570,NA,NA,NA,"rjags","3-14","JP",648
"2015-01-01","03:56:21",507617,"3.1.1","x86_64","linux-gnu","rpart.plot","1.5.1","CN",577
"2015-01-01","03:56:42",35502,"3.1.1","x86_64","linux-gnu","mime","0.2","CN",649
"2015-01-01","03:56:54",27200,"3.1.1","x86_64","linux-gnu","RColorBrewer","1.1-2","US",650
